[2022-05-25 15:33:40,361][__main__][INFO] - Starting task segment_vegetation
[2022-05-25 15:33:48,508][__main__][INFO] - Starting task segment_vegetation
[2022-05-25 15:45:52,216][__main__][INFO] - Starting task segment_vegetation
[2022-05-25 15:46:01,285][__main__][INFO] - Starting task segment_vegetation
[2022-05-25 15:46:33,700][__main__][INFO] - Starting task segment_vegetation
[2022-05-25 16:23:57,129][__main__][INFO] - Starting task segment_vegetation
[2022-05-25 16:26:59,113][__main__][INFO] - Starting task segment_vegetation
[2022-05-25 16:28:05,343][__main__][INFO] - Starting task segment_vegetation
[2022-05-25 16:34:07,124][__main__][INFO] - Starting task remap_labels
[2022-05-25 16:34:07,171][remap_labels][INFO] - Fetching image metadata.
[2022-05-25 16:36:04,078][remap_labels][INFO] - Staring mapping.
[2022-05-25 16:36:04,122][remap_labels][INFO] - Mapping complete.
[2022-05-25 16:36:04,122][remap_labels][INFO] - Deduplicating bounding boxes.
[2022-05-25 16:36:04,234][remap_labels][INFO] - Deduplication complete.
[2022-05-25 16:36:04,234][remap_labels][INFO] - Saving bounding box metadata.
[2022-05-25 16:36:04,266][remap_labels][INFO] - Saving complete.
[2022-05-25 16:39:41,618][__main__][INFO] - Starting task remap_labels
[2022-05-25 16:39:41,667][remap_labels][INFO] - Fetching image metadata.
[2022-05-25 16:39:52,534][__main__][INFO] - Starting task remap_labels
[2022-05-25 16:39:52,581][remap_labels][INFO] - Fetching image metadata.
[2022-05-25 16:41:21,123][remap_labels][INFO] - Staring mapping.
[2022-05-25 16:41:21,155][remap_labels][INFO] - Mapping complete.
[2022-05-25 16:41:21,155][remap_labels][INFO] - Deduplicating bounding boxes.
[2022-05-25 16:41:21,266][remap_labels][INFO] - Deduplication complete.
[2022-05-25 16:41:21,266][remap_labels][INFO] - Saving bounding box metadata.
[2022-05-25 16:41:21,502][remap_labels][INFO] - Saving complete.
[2022-05-25 16:45:07,104][__main__][INFO] - Starting task remap_labels
[2022-05-25 16:45:07,148][remap_labels][INFO] - Fetching image metadata.
[2022-05-25 16:46:35,238][remap_labels][INFO] - Staring mapping.
[2022-05-25 16:46:35,270][remap_labels][INFO] - Mapping complete.
[2022-05-25 16:46:35,270][remap_labels][INFO] - Deduplicating bounding boxes.
[2022-05-25 16:46:35,379][remap_labels][INFO] - Deduplication complete.
[2022-05-25 16:46:35,379][remap_labels][INFO] - Saving bounding box metadata.
[2022-05-25 16:51:34,382][__main__][INFO] - Starting task remap_labels
[2022-05-25 16:51:34,426][remap_labels][INFO] - Fetching image metadata.
[2022-05-25 16:53:01,602][remap_labels][INFO] - Staring mapping.
[2022-05-25 16:53:01,634][remap_labels][INFO] - Mapping complete.
[2022-05-25 16:53:01,634][remap_labels][INFO] - Deduplicating bounding boxes.
[2022-05-25 16:53:01,744][remap_labels][INFO] - Deduplication complete.
[2022-05-25 16:53:01,744][remap_labels][INFO] - Saving bounding box metadata.
[2022-05-25 16:53:02,963][remap_labels][INFO] - Saving complete.
[2022-05-25 17:09:41,484][__main__][INFO] - Starting task segment_vegetation
[2022-05-25 17:19:09,029][__main__][INFO] - Starting task remap_labels
[2022-05-25 17:19:09,073][remap_labels][INFO] - Fetching image metadata.
[2022-05-25 17:20:37,162][remap_labels][INFO] - Staring mapping.
[2022-05-25 17:20:37,198][remap_labels][INFO] - Mapping complete.
[2022-05-25 17:20:37,198][remap_labels][INFO] - Deduplicating bounding boxes.
[2022-05-25 17:20:37,316][remap_labels][INFO] - Deduplication complete.
[2022-05-25 17:20:37,316][remap_labels][INFO] - Saving bounding box metadata.
[2022-05-25 17:20:37,350][remap_labels][INFO] - Saving complete.
