Bench #,Barcode,Y coordinates (cm),X coordinates (cm),Specie
2,110,15.768924,0.001463,XAST
2,111,15.745529,5.32876,URPL2
1,113,9.996675,5.142944,DISA
1,114,10.006997,0.00291,AMPA
2,115,14.965269,13.105586,CYRO
2,116,15.722739,13.102938,CYRO
2,117,15.782549,10.572392,CYRO
1,119,10.72396,12.163327,DISA
1,119,20.819616,0.007629,GLMA4
3,120,10.016639,12.101063,SEOB4
1,121,15.058733,10.614558,GLMA4
2,125,9.993152,1.952597,CYRO
1,127,9.981125,7.510505,AMPA
1,128,10.006789,9.776526,DISA
1,129,19.99927,1.984883,GLMA4
3,131,20.829888,12.366951,SEOB4
3,135,10.766605,5.154854,ELIN3
2,139,15.753118,2.521146,XAST
2,140,15.019647,2.588453,XAST
3,142,19.991759,9.898212,ELIN3
3,143,20.763426,6.917902,AMAR2
3,144,20.016494,4.42515,AMAR2
2,145,15.004964,5.367114,URPL2
2,146,14.957212,7.864519,URPL2
1,147,10.787976,9.797431,GLMA4
1,148,10.780399,7.522609,DISA
1,149,10.710255,-0.020344,AMPA
3,150,20.776081,4.382652,AMAR2
3,151,20.019868,12.394443,ELIN3
3,152,19.973582,6.901885,AMAR2
3,153,20.81413,9.869378,ELIN3
3,154,20.786408,1.933124,SEOB4
2,155,15.748157,7.846076,URPL2
2,156,14.97816,0.006996,XAST
3,158,20.003399,-0.001725,SEOB4
1,159,10.724426,1.955578,AMPA
