marker_ID;x;y;z
target 29;0.018074;1.199624;0.112487
target 30;0.010323;-0.005361;0.124178
target 31;1.640339;1.217206;0.111681
target 32;1.646271;0.014171;0.112424
target 33;3.7506;1.199734;0.161113
target 34;3.732919;0.046709;0.116123
target 35;5.382743;1.20911;0.112137
target 36;5.403434;0.034064;0.12207
target 37;7.576194;1.195525;0.109547
target 38;7.537573;0.032157;0.120682
target 39;9.207829;1.213253;0.115335
target 40;9.19961;-0.012983;0.118659
target 41;11.390299;1.232954;0.117358
target 42;11.34518;-0.014281;0.122436
target 43;12.981742;1.197906;0.120342
target 44;12.999369;-0.006188;0.123427
target 45;15.1384;1.2192;0.12
target 47;16.7386;1.2192;0.12
target 49;18.3388;1.2192;0.12
target 46;15.0495;0;0.12
target 48;16.7132;0;0.12
target 50;18.288;0;0.12
target 11;30.012063;1.215549;0.099871
target 12;30.018412;0.010697;0.1087
target 13;31.897419;1.206417;0.111503
target 14;31.822948;0.033015;0.114772
target 15;33.791228;1.200317;0.13392
target 16;33.746407;0.012266;0.126733
target 17;35.383927;1.194947;0.126409
target 18;35.394908;0.021154;0.132602
target 19;37.602792;1.197234;0.127541
target 20;37.550177;0.000794;0.131652
target 21;39.114427;1.206609;0.122385
target 22;39.119977;0.002665;0.132589
target 23;41.35734;1.225458;0.129047
target 24;41.337241;0.027052;0.123554
target 25;42.977157;1.203808;0.116706
target 26;42.939957;0.015891;0.106407
target 27;44.848708;1.185368;0.112619
target 28;44.841313;0.013559;0.10299
