marker_ID;x;y;z
target 11;30.056139;1.227035;0.097754
target 12;30.059505;0.002969;0.110941
target 13;31.723496;1.224728;0.110087
target 14;31.674286;0.001841;0.118639
target 15;33.864094;1.198508;0.133110
target 16;33.872105;0.016986;0.124318
target 17;35.448521;1.182890;0.127039
target 18;35.458250;0.029199;0.130908
target 19;37.557498;1.186136;0.127848
target 20;37.562201;0.015502;0.133445
target 21;39.221577;1.191343;0.124272
target 22;39.202184;0.014368;0.130649
target 23;41.263156;1.211097;0.128669
target 24;41.232712;0.034107;0.121286
target 25;42.813371;1.172343;0.117075
target 26;42.823103;0.026394;0.108834
target 27;44.972307;1.164144;0.114416
target 28;44.951896;0.030039;0.100709
target 29;46.535437;1.149735;0.097765
target 30;46.521903;0.012911;0.087633
target 33;-0.044578;1.184799;0.120019
target 34;0.019141;-0.049421;0.120012
target 35;1.570780;1.158478;0.121644
target 36;1.602465;0.001842;0.112358
target 37;2.959252;1.178658;0.128607
target 38;2.914327;0.026644;0.119051
target 39;4.295590;1.209208;0.123529
target 40;4.307030;0.012498;0.120180
target 41;5.940265;1.238094;0.117241
target 42;5.917472;0.019301;0.117067
target 43;7.285345;1.216602;0.115410
target 44;7.280362;0.023316;0.123903
target 45;8.931441;1.230789;0.113047
target 46;8.908930;0.035533;0.122408
target 47;10.287504;1.215914;0.122281
target 48;10.307084;0.038986;0.121675
target 49;11.852878;1.173273;0.119648
target 50;11.879172;0.040092;0.124731
target 51;13.227254;1.176730;0.121439
target 52;14.531243;1.163503;0.117335
target 53;14.553506;0.032540;0.118445
