marker_ID;x;y;z
target 110;19.974324;10.740232;-0.008739
target 111;24.847368;10.794545;-0.004545
target 113;4.484104;10.772190;0.038821
target 114;-0.012813;10.012126;0.042352
target 115;31.676830;9.991558;-0.002549
target 116;31.680934;10.716702;-0.001947
target 117;29.425998;10.769309;-0.017749
target 119;4.453845;10.004323;0.029421
target 120;39.989854;10.727574;-0.041872
target 121;11.783609;9.974274;0.037826
target 125;29.411140;10.020063;-0.023540
target 127;2.285679;9.985767;0.036810
target 128;6.813948;10.018942;0.044052
target 129;9.561977;10.027286;0.049139
target 131;42.179676;10.013695;-0.016066
target 136;11.786121;10.771208;0.044551
target 139;22.348631;10.768120;-0.009789
target 140;22.374756;10.000994;-0.014692
target 142;49.269256;10.025981;-0.018507
target 143;46.913113;10.717871;-0.043898
target 144;44.510480;9.982703;-0.025284
target 145;24.818956;10.037055;-0.005634
target 146;27.151743;9.984684;0.025743
target 147;9.552159;10.785705;0.030939
target 148;6.821409;10.780191;0.041321
target 149;-0.007376;10.745321;0.047215
target 150;44.520176;10.748406;-0.020090
target 152;46.922836;9.986325;-0.037234
target 153;49.247363;10.781724;-0.024338
target 154;42.171642;10.741859;-0.019427
target 155;27.141523;10.756246;0.004284
target 156;19.987797;10.000494;-0.020844
target 158;39.995604;10.013862;-0.043285
target 159;2.297337;10.777666;0.037552
