marker;x;y;z
target 54;0;20;-0.09
target 55;1.23;20;-0.09
target 56;2.75;20;-0.09
target 57;4.314;20;-0.09
target 58;5.858;20;-0.09
target 59;7.372;20;-0.09
target 60;8.905;20;-0.09
target 61;10.445;20;-0.09
target 62;12.003;20;-0.09
target 63;13.543;20;-0.09
target 64;15.479;20;-0.09
target 65;16.56;20;-0.09
target 66;17.934;20;-0.09
target 67;0;21.375;-0.09
target 68;1.254;21.431;-0.09
target 69;2.784;21.409;-0.09
target 70;4.31;21.415;-0.09
target 71;5.834;21.425;-0.09
target 72;7.376;21.394;-0.09
target 73;8.9;21.409;-0.09
target 74;10.421;21.455;-0.09
target 75;11.971;21.396;-0.09
target 76;13.484;21.43;-0.09
target 77;15.032;21.518;-0.09
target 79;17.938;21.388;-0.09
target 81;25;20;-0.12
target 82;26.012;20;-0.12
target 83;27.526;20;-0.12
target 84;29.042;20;-0.12
target 85;30.597;20;-0.12
target 86;32.109;20;-0.12
target 87;33.727;20;-0.12
target 88;35.291;20;-0.12
target 89;36.797;20;-0.12
target 90;38.333;20;-0.12
target 91;39.871;20;-0.12
target 92;41.397;20;-0.12
target 93;42.557;20;-0.12
target 94;25;21.42;-0.12
target 95;25.928;21.454;-0.12
target 96;27.476;21.495;-0.12
target 97;29;21.42;-0.12
target 98;30.544;21.414;-0.12
target 99;32.082;21.405;-0.12
target 100;33.63;21.395;-0.12
target 101;35.174;21.379;-0.12
target 102;36.708;21.354;-0.12
target 103;38.234;21.341;-0.12
target 104;39.779;21.334;-0.12
target 105;41.266;21.366;-0.12
target 106;42.532;21.244;-0.12
