marker;x;y;z
target 67;-78.67262776;35.77420036;93.302
target 68;-78.67261272;35.77421953;93.329
target 69;-78.67259645;35.77423695;93.388
target 70;-78.67258272;35.77425657;93.415
target 71;-78.67256660;35.77427277;93.452
target 72;-78.67250330;35.77428172;93.466
target 73;-78.67253635;35.77430939;93.435
target 74;-78.67255186;35.77427576;93.435
target 75;-78.67251084;35.77434988;93.481
target 76;-78.67249779;35.77436747;93.484
target 77;-78.67248104;35.77438631;93.501
target 78;-78.67246772;35.7744053;93.564
target 79;-78.67245306;35.77442362;93.537
target 80;-78.67243864;35.77444126;93.553
target 81;-78.67260594;35.77420206;93.27
target 82;-78.67259384;35.77422626;93.304
target 83;-78.67257736;35.77423998;93.335
target 84;-78.67256374;35.77425700;93.384
target 85;-78.67254831;35.77427763;93.4
target 86;-78.67253466;35.77429559;93.395
target 87;-78.67252414;35.77430953;93.406
target 88;-78.67250516;35.77433211;93.429
target 89;-78.67249033;35.77435156;93.476
target 90;-78.67247558;35.77436952;93.491
target 91;-78.67246132;35.77438848;93.473
target 92;-78.67244562;35.77440698;93.483
target 93;-78.6724331;35.77442522;93.537
target 94;-78.67241789;35.77444341;93.588
target 95;-78.67259973;35.77418741;93.258
target 96;-78.67259152;35.77419889;93.31
target 97;-78.67257182;35.77422142;93.342
target 98;-78.67261430;35.77421212;93.35
target 99;-78.67254322;35.77425939;93.376
target 100;-78.67252748;35.77427877;93.408
target 101;-78.67251448;35.77429556;93.426
target 102;-78.67249956;35.77431487;93.425
target 103;-78.67248563;35.7743337;93.459
target 104;-78.67247111;35.77435172;93.488
target 105;-78.67245697;35.77437008;93.502
target 106;-78.67244324;35.77438942;93.486
target 107;-78.67242728;35.77440877;93.481
target 108;-78.67241353;35.77442643;93.529
target 109;-78.67258040;35.77418628;93.276
target 110;-78.67256262;35.77421240;93.283
target 111;-78.67255134;35.77422434;93.331
target 112;-78.67253304;35.77424531;93.324
target 113;-78.67252049;35.77425469;93.34
target 114;-78.67250707;35.77428013;93.392
target 115;-78.67249341;35.77429542;93.378
target 116;-78.67247818;35.77431763;93.412
target 117;-78.67246364;35.77433646;93.423
target 118;-78.67244972;35.77435538;93.437
target 119;-78.67243496;35.77437361;93.506
target 120;-78.67242009;35.77439214;93.47
target 121;-78.67240649;35.77440946;93.505
target 122;-78.67239226;35.77442781;93.534
target 123;-78.67257135;35.77417512;93.219
target 124;-78.67256425;35.77418404;93.222
target 125;-78.67254580;35.77420722;93.282
target 126;-78.67253105;35.77422724;93.274
target 127;-78.67251702;35.77424439;93.289
target 128;-78.67250126;35.77426429;93.297
target 129;-78.67248791;35.77428172;93.346
target 130;-78.6724735;35.77430067;93.332
target 131;-78.67245835;35.7743198;93.382
target 132;-78.67244411;35.77433885;93.376
target 133;-78.6724304;35.77435678;93.442
target 134;-78.67241675;35.77437594;93.423
target 135;-78.67240065;35.77439398;93.42
target 136;-78.67238659;35.77441172;93.453
