marker_ID;x;y;z
target 29;0.018074;1.199624;0.112487
target 30;0.010323;-0.005361;0.124178
target 31;1.640339;1.217206;0.111681
target 32;1.646271;0.014171;0.112424
target 33;3.750600;1.199734;0.161113
target 34;3.732919;0.046709;0.116123
target 35;5.382743;1.209110;0.112137
target 36;5.403434;0.034064;0.122070
target 37;7.576194;1.195525;0.109547
target 38;7.537573;0.032157;0.120682
target 39;9.207829;1.213253;0.115335
target 40;9.199610;-0.012983;0.118659
target 41;11.390299;1.232954;0.117358
target 42;11.345180;-0.014281;0.122436
target 43;12.981742;1.197906;0.120342
target 44;12.999369;-0.006188;0.123427
target 45;15.1384;1.2192;0.12
target 47;16.7386;1.2192;0.12
target 49;18.3388;1.2192;0.12
target 46;15.0495;0.00;0.12
target 48;16.7132;0.00;0.12
target 50;18.288;0.00;0.12
target 11;0.012063;6.215549;0.099871
target 12;0.018412;5.010697;0.108700
target 13;1.897419;6.206417;0.111503
target 14;1.822948;5.033015;0.114772
target 15;3.791228;6.200317;0.133920
target 16;3.746407;5.012266;0.126733
target 17;5.383927;6.194947;0.126409
target 18;5.394908;5.021154;0.132602
target 19;7.602792;6.197234;0.127541
target 20;7.550177;5.000794;0.131652
target 21;9.114427;6.206609;0.122385
target 22;9.119977;5.002665;0.132589
target 23;11.357340;6.225458;0.129047
target 24;11.337241;5.027052;0.123554
target 25;12.977157;6.203808;0.116706
target 26;12.939957;5.015891;0.106407
target 27;14.848708;6.185368;0.112619
target 28;14.841313;5.013559;0.102990
