marker_ID;x;y;z
target 110;0.001463;15.768924;-0.200
target 111;5.328760;15.745529;-0.200
target 113;5.142944;9.996675;-0.200
target 114;0.002910;10.006997;-0.200
target 115;13.105586;14.965269;-0.200
target 116;13.102938;15.722739;-0.200
target 117;10.572392;15.782549;-0.200
target 119;12.163327;10.723960;-0.200
target 120;0.007629;20.819616;-0.200
target 121;12.101063;10.016639;-0.200
target 125;10.614558;15.058733;-0.200
target 127;1.952597;9.993152;-0.200
target 128;7.510505;9.981125;-0.200
target 129;9.776526;10.006789;-0.200
target 131;1.984883;19.999270;-0.200
target 135;12.366951;20.829888;-0.200
target 136;5.154854;10.766605;-0.200
target 139;2.521146;15.753118;-0.200
target 140;2.588453;15.019647;-0.200
target 142;9.898212;19.991759;-0.200
target 143;6.917902;20.763426;-0.200
target 144;4.425150;20.016494;-0.200
target 145;5.367114;15.004964;-0.200
target 146;7.864519;14.957212;-0.200
target 147;9.797431;10.787976;-0.200
target 148;7.522609;10.780399;-0.200
target 149;-0.020344;10.710255;-0.200
target 150;4.382652;20.776081;-0.200
target 151;12.394443;20.019868;-0.200
target 152;6.901885;19.973582;-0.200
target 153;9.869378;20.814130;-0.200
target 154;1.933124;20.786408;-0.200
target 155;7.846076;15.748157;-0.200
target 156;0.006996;14.978160;-0.200
target 158;-0.001725;20.003399;-0.200
target 159;1.955578;10.724426;-0.200
