marker_ID;x;y;z
target 1;200;0;0.18
target 2;200;-1.3;0.18
target 3;202.32;0;0.18
target 4;202.32;-1.3;0.18
target 5;205.02;0;0.18
target 6;205.12;-1.3;0.18
target 7;207.71;0;0.18
target 8;207.62;-1.3;0.18
target 9;210.2;0;0.18
target 10;210.21;-1.3;0.18
target 11;212.36;0;0.18
target 12;212.39;-1.3;0.18
target 13;214.96;0;0.18
target 14;215.01;-1.3;0.18
target 15;250;0;0.18
target 16;250;-1.3;0.18
target 17;252.2;0;0.18
target 18;252.15;-1.3;0.18
target 19;254.96;0;0.18
target 20;254.95;-1.3;0.18
target 21;257.49;0;0.18
target 22;257.44;-1.3;0.18
target 23;259.93;0;0.18
target 24;259.92;-1.3;0.18
target 25;262.68;0;0.18
target 26;262.7;-1.3;0.18
target 27;265.1;0;0.18
target 28;265.08;-1.3;0.18
