n;Code;Easting;Northing;Elevation;Description;x;y;z;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;GDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;Mount point;CS name;GPS Satellites;GLONASS Satellites;Galileo Satellites;BeiDou Satellites;QZSS Satellites
67;;;;;;-78.67262777;35.77420068;93.302;Global;0.01;0.01;0.015;0.014;2.134;m;FIX;2024-06-20 12:40:15.0 UTC-04:00;2024-06-20 12:40:15.0 UTC-04:00;1;1.8;2;;;;-78.67248545;35.77408978;102.343;19.098;VRS_RTCM3;Global CS;9;6;0;0;0
68;;;;;;-78.67261272;35.77421953;93.329;Global;0.01;0.01;0.015;0.014;2.134;m;FIX;2024-06-20 12:40:30.0 UTC-04:00;2024-06-20 12:40:30.0 UTC-04:00;1;1.8;2;;;;-78.67248545;35.77408978;102.343;19.673;VRS_RTCM3;Global CS;9;6;0;0;0
69;;;;;;-78.67259664;35.77423744;93.388;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:40:38.0 UTC-04:00;2024-06-20 12:40:38.0 UTC-04:00;1;1.7;1.9;;;;-78.67248545;35.77408978;102.343;20.397;VRS_RTCM3;Global CS;9;6;0;0;0
70;;;;;;-78.67258272;35.77425657;93.415;Global;0.01;0.01;0.015;0.014;2.134;m;FIX;2024-06-20 12:40:46.0 UTC-04:00;2024-06-20 12:40:46.0 UTC-04:00;1;1.7;1.9;;;;-78.67248545;35.77408978;102.343;21.587;VRS_RTCM3;Global CS;9;6;0;0;0
71;;;;;;-78.67256899;35.77427512;93.452;Global;0.01;0.01;0.015;0.014;2.134;m;FIX;2024-06-20 12:40:54.0 UTC-04:00;2024-06-20 12:40:54.0 UTC-04:00;1;1.7;1.9;;;;-78.67248545;35.77408978;102.343;22.926;VRS_RTCM3;Global CS;9;6;0;0;0
72;;;;;;-78.67255397;35.77429316;93.466;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:41:05.0 UTC-04:00;2024-06-20 12:41:05.0 UTC-04:00;1;1.7;1.9;;;;-78.67248545;35.77408978;102.343;24.353;VRS_RTCM3;Global CS;9;6;0;0;0
73;;;;;;-78.67254019;35.77431086;93.435;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:41:15.0 UTC-04:00;2024-06-20 12:41:15.0 UTC-04:00;1;1.7;1.9;;;;-78.67248545;35.77408978;102.343;25.925;VRS_RTCM3;Global CS;9;6;0;0;0
74;;;;;;-78.67252482;35.77432962;93.435;Global;0.01;0.01;0.015;0.014;2.134;m;FIX;2024-06-20 12:41:25.0 UTC-04:00;2024-06-20 12:41:25.0 UTC-04:00;1;1.7;1.9;;;;-78.67248545;35.77408978;102.343;27.69;VRS_RTCM3;Global CS;9;6;0;0;0
75;;;;;;-78.67251084;35.77434988;93.481;Global;0.01;0.01;0.015;0.014;2.134;m;FIX;2024-06-20 12:41:33.0 UTC-04:00;2024-06-20 12:41:33.0 UTC-04:00;1;1.7;1.9;;;;-78.67248545;35.77408978;102.343;29.722;VRS_RTCM3;Global CS;9;6;0;0;0
76;;;;;;-78.67249779;35.77436747;93.484;Global;0.01;0.01;0.016;0.014;2.134;m;FIX;2024-06-20 12:42:01.0 UTC-04:00;2024-06-20 12:42:01.0 UTC-04:00;1;1.7;1.9;;;;-78.67248545;35.77408978;102.343;31.557;VRS_RTCM3;Global CS;9;6;0;0;0
