Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
67,,,,,,-78.67262776,35.77420036,92.806,Global,0.010,0.010,0.017,0.014,2.134,m,FIX,2024-11-25 14:00:38.0 UTC-05:00,2024-11-25 14:00:38.0 UTC-05:00,1,2.0,2.4,,,,-78.67269903,35.77420878,103.416,10.688,VRS_RTCM3,Global CS,7,5,0,0,0
98,,,,,,-78.67261430,35.77421212,92.797,Global,0.010,0.010,0.017,0.014,2.134,m,FIX,2024-11-25 14:00:53.0 UTC-05:00,2024-11-25 14:00:53.0 UTC-05:00,1,2.0,2.4,,,,-78.67269903,35.77420878,103.416,11.438,VRS_RTCM3,Global CS,7,5,0,0,0
69,,,,,,-78.67259645,35.77423695,92.868,Global,0.010,0.010,0.017,0.014,2.134,m,FIX,2024-11-25 14:01:13.0 UTC-05:00,2024-11-25 14:01:13.0 UTC-05:00,1,2.0,2.4,,,,-78.67269903,35.77420878,103.416,12.907,VRS_RTCM3,Global CS,7,5,0,0,0
71,,,,,,-78.67256660,35.77427277,92.906,Global,0.010,0.010,0.017,0.014,2.134,m,FIX,2024-11-25 14:01:30.0 UTC-05:00,2024-11-25 14:01:30.0 UTC-05:00,1,2.0,2.4,,,,-78.67269903,35.77420878,103.416,16.246,VRS_RTCM3,Global CS,8,5,0,0,0
73,,,,,,-78.67253635,35.77430939,92.890,Global,0.010,0.010,0.017,0.014,2.134,m,FIX,2024-11-25 14:01:46.0 UTC-05:00,2024-11-25 14:01:46.0 UTC-05:00,1,2.0,2.4,,,,-78.67269903,35.77420878,103.416,20.283,VRS_RTCM3,Global CS,9,5,0,0,0
86,,,,,,-78.67253466,35.77429559,92.917,Global,0.010,0.010,0.015,0.014,2.134,m,FIX,2024-11-25 14:02:22.0 UTC-05:00,2024-11-25 14:02:22.0 UTC-05:00,1,1.8,2.1,,,,-78.67269903,35.77420878,103.416,19.587,VRS_RTCM3,Global CS,9,5,0,0,0
87,,,,,,-78.67252414,35.77430953,92.873,Global,0.010,0.010,0.015,0.014,2.134,m,FIX,2024-11-25 14:02:34.0 UTC-05:00,2024-11-25 14:02:34.0 UTC-05:00,1,1.8,2.1,,,,-78.67269903,35.77420878,103.416,21.113,VRS_RTCM3,Global CS,9,5,0,0,0
101,,,,,,-78.67251448,35.77429556,92.895,Global,0.010,0.010,0.015,0.014,2.134,m,FIX,2024-11-25 14:02:55.0 UTC-05:00,2024-11-25 14:02:55.0 UTC-05:00,1,1.8,2.1,,,,-78.67269903,35.77420878,103.416,21.012,VRS_RTCM3,Global CS,9,5,0,0,0
72,,,,,,-78.67250330,35.77428172,92.846,Global,0.010,0.010,0.015,0.014,2.134,m,FIX,2024-11-25 14:03:12.0 UTC-05:00,2024-11-25 14:03:12.0 UTC-05:00,1,1.8,2.1,,,,-78.67269903,35.77420878,103.416,21.210,VRS_RTCM3,Global CS,9,5,0,0,0
115,,,,,,-78.67249341,35.77429542,92.850,Global,0.010,0.010,0.015,0.014,2.134,m,FIX,2024-11-25 14:03:27.0 UTC-05:00,2024-11-25 14:03:27.0 UTC-05:00,1,1.8,2.1,,,,-78.67269903,35.77420878,103.416,22.565,VRS_RTCM3,Global CS,9,5,0,0,0
129,,,,,,-78.67248791,35.77428172,92.855,Global,0.011,0.011,0.026,0.016,2.134,m,FIX,2024-11-25 14:03:43.0 UTC-05:00,2024-11-25 14:03:43.0 UTC-05:00,1,1.8,2.1,,,,-78.67269903,35.77420878,103.416,22.382,VRS_RTCM3,Global CS,9,5,0,0,0
